url	label	title	search_text	comments	merged	created_time	updated_time	closed_time
https://github.com/FederatedAI/FATE/pull/2582	[]	add images demo for homo nn	"add images demo for homo nnSigned-off-by: weiwee <wbwmat@gmail.com>

-------

Changes:

1. fix bugs

2. add mnist images demo"	1	True	2021-02-15 17:50:48	2021-04-25 08:59:49	2021-02-18 02:45:34
https://github.com/FederatedAI/FATE/pull/2578	[]	fix pipeline param	fix pipeline paramfix param	1	True	2021-02-08 03:36:08	2021-02-08 06:58:01	2021-02-08 06:58:01
https://github.com/FederatedAI/FATE/pull/2559	[]	Feature 1.5.1 fate flow fix zombie executor process and retry task status update	"Feature 1.5.1 fate flow fix zombie executor process and retry task status updateFixes  ISSUE #2560 

Changes:

1. fix sometimes task executor becomes a zombie process
2. fix retry job sometime not update task status
3. reorganize the document for fate on spark


"	1	True	2021-02-05 01:08:49	2021-02-05 05:01:28	2021-02-05 05:01:27
https://github.com/FederatedAI/FATE/pull/2548	['bug']	fix standalone implements	"fix standalone implements1. reimplement map_reduce_partition
2. add partition shuffle to flat_map
3. format with black

Signed-off-by: weiwee <wbwmat@gmail.com>

-------

Changes:

1. reimplement map_reduce_partition

2. add partition shuffle to flat_map

3. format with black"	1	True	2021-02-04 07:22:29	2021-04-25 09:00:04	2021-02-04 08:14:44
https://github.com/FederatedAI/FATE/pull/2518	[]	fix reader component bug	"fix reader component bugFixes  ISSUE #xxx

Changes:

1.

2.

3.


"	1	True	2021-01-29 09:07:16	2021-01-29 12:27:01	2021-01-29 12:27:01
https://github.com/FederatedAI/FATE/pull/2463	['bug', 'enhancement']	Merge master into develop-1.5.1	"Merge master into develop-1.5.1Fixes  ISSUE #xxx

Changes:

1. 

2.

3.


"	1	True	2021-01-12 07:51:22	2021-01-12 08:38:08	2021-01-12 08:38:08
https://github.com/FederatedAI/FATE/pull/2460	['bug', 'fate-flow']	Feature 1.5.1 fate flow api	"Feature 1.5.1 fate flow apifix fate flow 1.5.1 bug


"	1	True	2021-01-12 04:28:56	2021-01-12 05:01:04	2021-01-12 05:01:04
https://github.com/FederatedAI/FATE/pull/2455	[]	[#2454] fix bug	"[#2454] fix bugfix #2454

Signed-off-by: weiwee <wbwmat@gmail.com>
"	1	True	2021-01-07 04:08:17	2021-04-25 09:00:35	2021-01-08 11:23:25
https://github.com/FederatedAI/FATE/pull/2450	['bug']	fix fast sbt host id type	"fix fast sbt host id typefix host id matching in fast-sbt mix mode

"	1	True	2021-01-06 09:56:43	2021-01-06 12:30:03	2021-01-06 12:30:02
https://github.com/FederatedAI/FATE/pull/2447	['bug']	Feature 1.6 benchmark catch	"Feature 1.6 benchmark catchFixes  ISSUE #xxx

Changes:

1. catch exception while running benchmark

2.

3.


"	1	True	2021-01-06 03:54:49	2021-01-29 03:17:57	2021-01-29 03:17:57
https://github.com/FederatedAI/FATE/pull/2432	[]	fix predict cache	fix predict cachefix predict cache	1	True	2020-12-29 11:11:01	2020-12-30 03:30:15	2020-12-30 03:30:15
https://github.com/FederatedAI/FATE/pull/2429	['bug', 'fate-flow']	Feature 1.5.1 fate flow api	"Feature 1.5.1 fate flow api1. fix fate flow api and idmapping bug
2. deserialize add safe module


"	1	True	2020-12-29 08:12:46	2020-12-29 14:22:39	2020-12-29 14:22:39
